Id,CategoryId,Brand_Name,Category_Name,Name,Sku,Product_Id,Unit,PackageInfo_PackageUnit,PackageInfo_PackageSize,ItemVolumeInfo,Images,Media_MainImage,ListImage,Price
203276,16859,Auchan,Pomidory suszone,Auchan - Pomidory suszone z pestkami dyni i ziołami,698767,203276,szt.,kg,0.15,270 g,"https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24386065/00.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24386068/01.jpg",https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24386065/00.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_list/product/24386065/00.jpg,7.95
191608,12085,Łowicz,Koncentrat pomidorowy,Łowicz - Koncentrat pomidorowy 30%,471023,191608,szt.,kg,0.08,80 g,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24356908/00.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24356908/00.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_list/product/24356908/00.jpg,2.29
198926,11998,Prymat,W proszku,Prymat - Sos sałatkowy francuski Vinaigrette  ,530313,198926,szt.,kg,0.009,9 g,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24364156/00.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24364156/00.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_list/product/24364156/00.jpg,0.98
172846,12013,Łowicz,Pieczeniowe,Łowicz - Żurawina do mięs i serów,170590,172846,szt.,kg,0.23,230 g,"https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24310693/00.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24310696/03.jpg",https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24310693/00.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_list/product/24310693/00.jpg,6.98
227042,12577,Auchan,Mieszane,Auchan - Sałatka z selera seler krojony marynowany,511814,227042,szt.,kg,0.16,270/160 g,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24360958/01.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24360958/01.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_list/product/24360958/01.jpg,3.09
177439,12475,Figaro,Oliwki zielone,Figaro - Hiszpańskie oliwki zielone drylowane,2993,177439,szt.,kg,0.16,340 g,"https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24329863/00.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24329866/01.jpg",https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24329863/00.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_list/product/24329863/00.jpg,7.69
203942,19945,Auchan,"Klopsy, gołąbki, pulpety",Auchan - Pulpety wieprzowo-wołowe w sosie pomidorowym,723560,203942,szt.,kg,0.5,500 g,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24390439/01.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24390439/01.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_list/product/24390439/01.jpg,5.99
178213,12457,Auchan,Groszek,Auchan - Groszek konserwowy,320682,178213,szt.,kg,0.24,240 g,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24333370/01.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24333370/01.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_list/product/24333370/01.jpg,2.46
207875,12547,Auchan,Konserwowe,Auchan - Ogórki konserwowe,940783,207875,szt.,kg,0.45,870 g,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24288121/01.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24288121/01.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_list/product/24288121/01.jpg,5.79
244558,14443,Hortex,Zupy,Hortex - Kapuśniak,693391,244558,szt.,kg,0.45,450 g,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24384796/00.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_medium/product/24384796/00.jpg,https://ecomplmvpprodwebblob0.blob.core.windows.net/zakupymvp/cache/product_list/product/24384796/00.jpg,6.93
